Time (ms),RB_End_Effecter,RB_Joint2 - o,RB_Joint1 - o,RB_Joint3 - o
13033,0.007399678,0.034308814,0.013340376,0.046261951
13067,0.004011154,-0.030690191,-0.033008479,0.009712243
13100,0.007631564,-0.041339494,-0.031884953,0.009366488
13133,0.01469364,0.001255989,0.001407623,0.045314312
13167,0.019826388,0.068135828,0.038869571,0.094769657
13200,0.02136898,0.12781848,0.070929334,0.1379008
13233,0.021266341,0.180466458,0.112432756,0.174539283
13267,0.020478701,0.24499768,0.177203178,0.21012117
13300,0.017283367,0.308522969,0.25250873,0.235411525
13333,0.009162497,0.321154684,0.304329008,0.229075581
13367,-0.000808525,0.255765408,0.305100322,0.181774363
13400,-0.000412774,0.144665897,0.255875558,0.112067014
13433,0.015562819,0.044705771,0.183895096,0.054139633
13467,0.031101678,-0.008002853,0.118740171,0.032624923
13500,0.027897045,0.000526714,0.076511472,0.049854606
13533,0.006280374,0.072956942,0.065566629,0.089413226
13567,-0.017298602,0.179502875,0.089911655,0.126496583
13600,-0.019593429,0.246501997,0.140725121,0.141863227
13633,0.00657885,0.226432502,0.19614771,0.13263306
13667,0.038664933,0.165263847,0.236204326,0.108441859
13700,0.060566351,0.134174243,0.254149795,0.080364011
13733,0.087465689,0.133899018,0.250482529,0.057357956
13767,0.128022969,0.126538739,0.227719963,0.048168965
13800,0.156263202,0.110797681,0.198128402,0.060763091
13833,0.144152999,0.117500775,0.178887457,0.09659104
13867,0.099305496,0.153462112,0.175180718,0.142605349
13900,0.051746603,0.181009486,0.180734828,0.172702253
13933,0.019035744,0.168202966,0.186721787,0.167339683
13967,-0.000314605,0.137305915,0.179597989,0.129474297
14000,-0.012108241,0.120113462,0.137953505,0.070562832
14033,-0.012406074,0.093200959,0.046003815,-0.005416131
14067,0.020559704,0.015935039,-0.081387088,-0.083770491
14100,0.113782018,-0.099116981,-0.200153291,-0.120444164
14133,0.26039809,-0.199176967,-0.27401647,-0.075474322
14167,0.394654036,-0.244113907,-0.292600811,0.03059642
14200,0.430680782,-0.226775244,-0.256612271,0.121578053
14233,0.342033237,-0.167142957,-0.178211123,0.140868038
14267,0.190289915,-0.094743051,-0.08849144,0.101694763
14300,0.062851094,-0.031143377,-0.018871306,0.050713595
14333,-0.00146867,0.006196689,0.015351675,0.011531531
14367,-0.0175601,0.001091194,0.011804866,-0.019485103
14400,-0.014046691,-0.037023064,-0.017779253,-0.050115034
14433,-0.007567012,-0.066097066,-0.04611196,-0.076426327
14467,-0.002837205,-0.053922266,-0.049717709,-0.083964899
14500,-0.001710248,-0.017489718,-0.032151889,-0.072445601
14533,-0.007691037,-0.008251476,-0.021318341,-0.06868647
14567,-0.021813799,-0.059438318,-0.043618012,-0.097815275
14600,-0.036363706,-0.15033187,-0.099834532,-0.149369434
14633,-0.039239213,-0.227278218,-0.161798567,-0.181708351
14667,-0.027763471,-0.247801185,-0.189678371,-0.16117312
14700,-0.011403143,-0.197473228,-0.159545228,-0.098130509
14733,0.000379515,-0.10232991,-0.08510828,-0.04011387
14767,0.005081641,-0.027672097,-0.011535644,-0.025569668
14800,0.002611327,-0.014612101,0.012916945,-0.050913721
14833,-0.010699582,-0.034181785,-0.047990222,-0.083112717
14867,-0.044051256,-0.044089794,-0.224939331,-0.086631209
14900,-0.103392981,-0.048783012,-0.536162555,-0.034567934
14933,-0.170175254,-0.065136902,-0.929521382,0.06699612
